reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043797649.1	AL	XP_043797649.1	LOC122717534	OG0007074	XM_043941714.1	269	549	XP_043797649.1 calexcitin-2 [Apis laboriosa]
AL|XP_043797652.1	AL	XP_043797652.1	LOC122717535	OG0007299	XM_043941717.1	377	846	XP_043797652.1 TAR DNA-binding protein 43-like isoform X1 [Apis laboriosa]
AL|XP_043797654.1	AL	XP_043797654.1	LOC122717536	OG0005430	XM_043941719.1	0	2211	XP_043797654.1 uncharacterized protein LOC122717536 [Apis laboriosa]
AL|XP_043797655.1	AL	XP_043797655.1	LOC122717537	OG0000009	XM_043941720.1	0	1233	XP_043797655.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]
AL|XP_043797658.1	AL	XP_043797658.1	LOC122717539	OG0000009	XM_043941723.1	169	1011	XP_043797658.1 farnesyl pyrophosphate synthase-like [Apis laboriosa]
AL|XP_043797659.1	AL	XP_043797659.1	LOC122717540	OG0003625	XM_043941724.1	98	435	XP_043797659.1 endocuticle structural glycoprotein SgAbd-2-like [Apis laboriosa]
AL|XP_043797660.1	AL	XP_043797660.1	LOC122717538	OG0002047	XM_043941725.1	0	1692	XP_043797660.1 glutathione S-transferase C-terminal domain-containing protein homolog [Apis laboriosa]
AL|XP_043797661.1	AL	XP_043797661.1	LOC122717541	OG0003623	XM_043941726.1	343	2139	XP_043797661.1 sphingomyelin phosphodiesterase isoform X1 [Apis laboriosa]
AL|XP_043797665.1	AL	XP_043797665.1	LOC122717542	OG0008477	XM_043941730.1	370	3615	XP_043797665.1 uncharacterized protein LOC122717542 isoform X1 [Apis laboriosa]
AL|XP_043797667.1	AL	XP_043797667.1	LOC122717543	OG0005432	XM_043941732.1	703	1602	XP_043797667.1 facilitated trehalose transporter Tret1-2 homolog isoform X1 [Apis laboriosa]
AL|XP_043797675.1	AL	XP_043797675.1	LOC122717544	OG0002211	XM_043941740.1	290	450	XP_043797675.1 protein JTB [Apis laboriosa]
AL|XP_043797678.1	AL	XP_043797678.1	LOC122717545	OG0005429	XM_043941743.1	46	663	XP_043797678.1 ras-related protein RabJ [Apis laboriosa]
AL|XP_043797679.1	AL	XP_043797679.1	LOC122717546	OG0009109	XM_043941744.1	17	3087	XP_043797679.1 uncharacterized protein LOC122717546 [Apis laboriosa]
AL|XP_043797680.1	AL	XP_043797680.1	LOC122717547	OG0009250	XM_043941745.1	581	4467	XP_043797680.1 protein tiptop isoform X1 [Apis laboriosa]
AL|XP_043797684.1	AL	XP_043797684.1	LOC122717548	OG0003682	XM_043941749.1	102	3450	XP_043797684.1 zinc finger protein 91 [Apis laboriosa]
AL|XP_043797685.1	AL	XP_043797685.1	LOC122717551	OG0000045	XM_043941750.1	0	1548	XP_043797685.1 multiple inositol polyphosphate phosphatase 1-like isoform X1 [Apis laboriosa]
AL|XP_043797688.1	AL	XP_043797688.1	LOC122717549	OG0003578	XM_043941753.1	413	654	XP_043797688.1 LIM domain only protein 3-like [Apis laboriosa]
AL|XP_043797694.1	AL	XP_043797694.1	LOC122717553	OG0003630	XM_043941759.1	39	495	XP_043797694.1 endocuticle structural glycoprotein SgAbd-2-like [Apis laboriosa]
AL|XP_043797695.1	AL	XP_043797695.1	LOC122717554	OG0005434	XM_043941760.1	336	2715	XP_043797695.1 WD repeat, SAM and U-box domain-containing protein 1-like isoform X1 [Apis laboriosa]
AL|XP_043797697.1	AL	XP_043797697.1	LOC122717556	OG0006977	XM_043941762.1	96	1194	XP_043797697.1 proteasomal ubiquitin receptor ADRM1-A isoform X1 [Apis laboriosa]
AL|XP_043797699.1	AL	XP_043797699.1	LOC122717558	OG0006265	XM_043941764.1	0	465	XP_043797699.1 myosin-2 essential light chain isoform X1 [Apis laboriosa]
AL|XP_043797700.1	AL	XP_043797700.1	LOC122717555	OG0007996	XM_043941765.1	0	2079	XP_043797700.1 probable tyrosyl-DNA phosphodiesterase isoform X1 [Apis laboriosa]
AL|XP_043797705.1	AL	XP_043797705.1	LOC122717559	OG0000010	XM_043941770.1	230	1224	XP_043797705.1 phospholipase B1, membrane-associated-like isoform X1 [Apis laboriosa]
AL|XP_043797713.1	AL	XP_043797713.1	LOC122717560	OG0000009	XM_043941778.1	229	1230	XP_043797713.1 farnesyl pyrophosphate synthase-like [Apis laboriosa]
AL|XP_043797714.1	AL	XP_043797714.1	LOC122717561	OG0000181	XM_043941779.1	2565	4500	XP_043797714.1 uncharacterized protein LOC122717561 [Apis laboriosa]
AL|XP_043797715.1	AL	XP_043797715.1	LOC122717562	OG0003633	XM_043941780.1	152	1617	XP_043797715.1 threonylcarbamoyladenosine tRNA methylthiotransferase [Apis laboriosa]
AL|XP_043797716.1	AL	XP_043797716.1	LOC122717563	OG0000010	XM_043941781.1	127	1224	XP_043797716.1 phospholipase B1, membrane-associated-like isoform X1 [Apis laboriosa]
AL|XP_043797718.1	AL	XP_043797718.1	LOC122717564	OG0000193	XM_043941783.1	27	1650	XP_043797718.1 jerky protein homolog-like [Apis laboriosa]
AL|XP_043797719.1	AL	XP_043797719.1	LOC122717566		XM_043941784.1	0	273	XP_043797719.1 putative glycine-rich cell wall structural protein 1 [Apis laboriosa]
AL|XP_043797720.1	AL	XP_043797720.1	LOC122717567	OG0001689	XM_043941785.1	0	2103	XP_043797720.1 cytochrome P450 18a1 [Apis laboriosa]
AL|XP_043797722.1	AL	XP_043797722.1	LOC122717565	OG0005377	XM_043941787.1	156	522	XP_043797722.1 soma ferritin [Apis laboriosa]
AL|XP_043797723.1	AL	XP_043797723.1	LOC122717569	OG0009583	XM_043941788.1	62	1533	XP_043797723.1 uncharacterized protein LOC122717569 [Apis laboriosa]
AL|XP_043797724.1	AL	XP_043797724.1	LOC122717571	OG0003627	XM_043941789.1	0	390	XP_043797724.1 larval cuticle protein LCP-17-like [Apis laboriosa]
AL|XP_043797726.1	AL	XP_043797726.1	LOC122717574		XM_043941791.1	0	405	XP_043797726.1 uncharacterized protein LOC122717574 [Apis laboriosa]
AL|XP_043797727.1	AL	XP_043797727.1	LOC122717575	OG0000001	XM_043941792.1	0	1095	XP_043797727.1 uncharacterized protein LOC122717575 [Apis laboriosa]
AL|XP_043797728.1	AL	XP_043797728.1	LOC122717578	OG0000001	XM_043941793.1	0	1092	XP_043797728.1 uncharacterized protein LOC122717578 [Apis laboriosa]
AL|XP_043797729.1	AL	XP_043797729.1	LOC122717579	OG0000431	XM_043941794.1	156	6015	XP_043797729.1 ATP-dependent helicase brm-like [Apis laboriosa]
AL|XP_043797730.1	AL	XP_043797730.1	LOC122717576	OG0002435	XM_043941795.1	388	3123	XP_043797730.1 uncharacterized protein LOC122717576 [Apis laboriosa]
AL|XP_043797733.1	AL	XP_043797733.1	LOC122717580	OG0006229	XM_043941798.1	195	4836	XP_043797733.1 CD109 antigen [Apis laboriosa]
AL|XP_043797736.1	AL	XP_043797736.1	LOC122717581	OG0000010	XM_043941801.1	97	1224	XP_043797736.1 phospholipase B1, membrane-associated-like [Apis laboriosa]
AL|XP_043797737.1	AL	XP_043797737.1	LOC122717582	OG0005412	XM_043941802.1	88	1170	XP_043797737.1 U11/U12 small nuclear ribonucleoprotein 48 kDa protein-like [Apis laboriosa]
AL|XP_043797738.1	AL	XP_043797738.1	LOC122717583	OG0000126	XM_043941803.1	0	1122	XP_043797738.1 uncharacterized protein LOC122717583 [Apis laboriosa]
AL|XP_043797739.1	AL	XP_043797739.1	LOC122717586	OG0006123	XM_043941804.1	286	5322	XP_043797739.1 laminin subunit beta-1 [Apis laboriosa]
AL|XP_043797740.1	AL	XP_043797740.1	LOC122717587	OG0008986	XM_043941805.1	476	519	XP_043797740.1 uncharacterized protein LOC122717587 [Apis laboriosa]
AL|XP_043797741.1	AL	XP_043797741.1	LOC122717588	OG0003624	XM_043941806.1	0	837	XP_043797741.1 homeobox protein unc-42 [Apis laboriosa]
AL|XP_043797742.1	AL	XP_043797742.1	LOC122717585	OG0000965	XM_043941807.1	266	1737	XP_043797742.1 glutamate receptor 3-like isoform X1 [Apis laboriosa]
AL|XP_043797743.1	AL	XP_043797743.1	LOC122717589	OG0003629	XM_043941808.1	126	528	XP_043797743.1 multiple coagulation factor deficiency protein 2 homolog isoform X1 [Apis laboriosa]
AL|XP_043797745.1	AL	XP_043797745.1	LOC122717590	OG0001458	XM_043941810.1	99	711	XP_043797745.1 breast cancer metastasis-suppressor 1-like protein isoform X1 [Apis laboriosa]
AL|XP_043797747.1	AL	XP_043797747.1	LOC122717591	OG0003631	XM_043941812.1	166	1077	XP_043797747.1 F-box only protein 43-like isoform X1 [Apis laboriosa]
AL|XP_043797749.1	AL	XP_043797749.1	LOC122717592	OG0009226	XM_043941814.1	0	1974	XP_043797749.1 uncharacterized protein LOC122717592 [Apis laboriosa]
AL|XP_043797750.1	AL	XP_043797750.1	LOC122717593	OG0000001	XM_043941815.1	0	1170	XP_043797750.1 uncharacterized protein LOC122717593 [Apis laboriosa]
AL|XP_043797752.1	AL	XP_043797752.1	LOC122717594	OG0000001	XM_043941817.1	0	1092	XP_043797752.1 uncharacterized protein LOC122717594 [Apis laboriosa]
AL|XP_043797753.1	AL	XP_043797753.1	LOC122717595	OG0000119	XM_043941818.1	37	681	XP_043797753.1 uncharacterized protein LOC122717595 [Apis laboriosa]
AL|XP_043797754.1	AL	XP_043797754.1	LOC122717596	OG0000182	XM_043941819.1	123	1155	XP_043797754.1 uncharacterized protein LOC122717596 [Apis laboriosa]
AL|XP_043797755.1	AL	XP_043797755.1	LOC122717597	OG0008414	XM_043941820.1	0	2595	XP_043797755.1 prominin-1-A, partial [Apis laboriosa]
AL|XP_043797756.1	AL	XP_043797756.1	LOC122717598	OG0000001	XM_043941821.1	0	1176	XP_043797756.1 uncharacterized protein LOC122717598 [Apis laboriosa]
AL|XP_043797757.1	AL	XP_043797757.1	LOC122717599	OG0007840	XM_043941822.1	332	1587	XP_043797757.1 cytochrome P450 302a1, mitochondrial [Apis laboriosa]
AL|XP_043797759.1	AL	XP_043797759.1	LOC122717601	OG0006989	XM_043941824.1	122	1302	XP_043797759.1 26S proteasome regulatory subunit 7 [Apis laboriosa]
AL|XP_043797760.1	AL	XP_043797760.1	LOC122717602	OG0003626	XM_043941825.1	146	984	XP_043797760.1 retinol dehydrogenase 12-like [Apis laboriosa]
AL|XP_043797761.1	AL	XP_043797761.1	LOC122717603	OG0003632	XM_043941826.1	494	978	XP_043797761.1 uncharacterized protein LOC122717603 isoform X1 [Apis laboriosa]
AL|XP_043797763.1	AL	XP_043797763.1	LOC122717600	OG0000964	XM_043941828.1	0	1830	XP_043797763.1 glutamate receptor 1-like [Apis laboriosa]
AL|XP_043797765.1	AL	XP_043797765.1	LOC122717604	OG0001648	XM_043941830.1	105	540	XP_043797765.1 endocuticle structural glycoprotein ABD-4-like [Apis laboriosa]
AL|XP_043797766.1	AL	XP_043797766.1	LOC122717606	OG0000001	XM_043941831.1	0	1089	XP_043797766.1 uncharacterized protein LOC122717606 [Apis laboriosa]
AL|XP_043797767.1	AL	XP_043797767.1	LOC122717607	OG0000001	XM_043941832.1	0	1089	XP_043797767.1 uncharacterized protein LOC122717607 [Apis laboriosa]
AL|XP_043797768.1	AL	XP_043797768.1	LOC122717608	OG0000001	XM_043941833.1	0	1089	XP_043797768.1 uncharacterized protein LOC122717608 [Apis laboriosa]
AL|XP_043797769.1	AL	XP_043797769.1	LOC122717609	OG0000933	XM_043941834.1	37	1380	XP_043797769.1 enolase isoform X1 [Apis laboriosa]
AL|XP_043797771.1	AL	XP_043797771.1	LOC122717611	OG0000886	XM_043941836.1	777	2784	XP_043797771.1 protein argonaute-2 isoform X1 [Apis laboriosa]
AL|XP_043797775.1	AL	XP_043797775.1	LOC122717610	OG0007018	XM_043941840.1	210	2319	XP_043797775.1 serine/threonine-protein kinase PLK4 isoform X1 [Apis laboriosa]
AL|XP_043797776.1	AL	XP_043797776.1	LOC122717612	OG0006354	XM_043941841.1	98	1872	XP_043797776.1 ribosomal oxygenase 1 [Apis laboriosa]
AL|XP_043797777.1	AL	XP_043797777.1	LOC122717613	OG0008195	XM_043941842.1	39	366	XP_043797777.1 39S ribosomal protein L53, mitochondrial [Apis laboriosa]
AL|XP_043797779.1	AL	XP_043797779.1	LOC122717616	OG0000104	XM_043941844.1	0	1209	XP_043797779.1 venom serine protease 34 [Apis laboriosa]
AL|XP_043797780.1	AL	XP_043797780.1	LOC122717617	OG0003628	XM_043941845.1	205	1320	XP_043797780.1 stabilizer of axonemal microtubules 1-like isoform X1 [Apis laboriosa]
AL|XP_043797784.1	AL	XP_043797784.1	LOC122717618	OG0000009	XM_043941849.1	286	1251	XP_043797784.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]
AL|XP_043797787.1	AL	XP_043797787.1	LOC122717619	OG0007976	XM_043941852.1	124	2367	XP_043797787.1 serine/threonine-protein kinase fused isoform X1 [Apis laboriosa]
AL|XP_043797793.1	AL	XP_043797793.1	LOC122717621	OG0008483	XM_043941858.1	30	6789	XP_043797793.1 CAD protein [Apis laboriosa]
AL|XP_043797794.1	AL	XP_043797794.1	LOC122717622	OG0005416	XM_043941859.1	316	2820	XP_043797794.1 uncharacterized protein LOC122717622 [Apis laboriosa]
AL|XP_043797795.1	AL	XP_043797795.1	LOC122717620	OG0002440	XM_043941860.1	689	1710	XP_043797795.1 solute carrier family 41 member 3-like isoform X1 [Apis laboriosa]
AL|XP_043797797.1	AL	XP_043797797.1	LOC122717623	OG0005417	XM_043941862.1	72	360	XP_043797797.1 uncharacterized protein LOC122717623 [Apis laboriosa]
AL|XP_043797798.1	AL	XP_043797798.1	LOC122717624	OG0005436	XM_043941863.1	205	1932	XP_043797798.1 uncharacterized protein LOC122717624 [Apis laboriosa]
AL|XP_043797799.1	AL	XP_043797799.1	LOC122717625	OG0001807	XM_043941864.1	149	1314	XP_043797799.1 caspase Dronc [Apis laboriosa]
AL|XP_043797800.1	AL	XP_043797800.1	LOC122717626	OG0006980	XM_043941865.1	254	1269	XP_043797800.1 26S proteasome non-ATPase regulatory subunit 11 [Apis laboriosa]
AL|XP_043797801.1	AL	XP_043797801.1	LOC122717627	OG0006773	XM_043941866.1	70	747	XP_043797801.1 proteasome activator complex subunit 3 [Apis laboriosa]
AL|XP_043797802.1	AL	XP_043797802.1	LOC122717628	OG0005424	XM_043941867.1	246	642	XP_043797802.1 glycolipid transfer protein [Apis laboriosa]
AL|XP_043797804.1	AL	XP_043797804.1	LOC122717629	OG0005425	XM_043941869.1	73	525	XP_043797804.1 transmembrane protein 17B-like isoform X1 [Apis laboriosa]
AL|XP_043797806.1	AL	XP_043797806.1	LOC122717630	OG0007678	XM_043941871.1	186	2436	XP_043797806.1 armadillo segment polarity protein isoform X1 [Apis laboriosa]
AL|XP_043797810.1	AL	XP_043797810.1	LOC122717631	OG0005431	XM_043941875.1	960	2385	XP_043797810.1 atrial natriuretic peptide-converting enzyme [Apis laboriosa]
AL|XP_043797812.1	AL	XP_043797812.1	LOC122717633	OG0005410	XM_043941877.1	225	720	XP_043797812.1 pyridoxine/pyridoxamine 5'-phosphate oxidase [Apis laboriosa]
AL|XP_043797813.1	AL	XP_043797813.1	LOC122717634	OG0000009	XM_043941878.1	392	1062	XP_043797813.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]
AL|XP_043797816.1	AL	XP_043797816.1	LOC122717632	OG0002438	XM_043941881.1	119	570	XP_043797816.1 uncharacterized protein LOC122717632 isoform X1 [Apis laboriosa]
AL|XP_043797817.1	AL	XP_043797817.1	LOC122717638	OG0002920	XM_043941882.1	1227	1269	XP_043797817.1 nuclear receptor subfamily 1 group D member 2-like [Apis laboriosa]
AL|XP_043797819.1	AL	XP_043797819.1	LOC122717640	OG0000981	XM_043941884.1	612	2916	XP_043797819.1 netrin receptor UNC5C-like isoform X1 [Apis laboriosa]
AL|XP_043797821.1	AL	XP_043797821.1	LOC122717641	OG0002779	XM_043941886.1	641	1260	XP_043797821.1 protein embryonic gonad-like isoform X1 [Apis laboriosa]
AL|XP_043797828.1	AL	XP_043797828.1	LOC122717644	OG0004717	XM_043941893.1	71	4617	XP_043797828.1 nuclear pore complex protein DDB_G0274915-like [Apis laboriosa]
AL|XP_043797829.1	AL	XP_043797829.1	LOC122717645	OG0002637	XM_043941894.1	1173	4506	XP_043797829.1 roundabout homolog 2-like [Apis laboriosa]
AL|XP_043797830.1	AL	XP_043797830.1	LOC122717647	OG0002638	XM_043941895.1	285	510	XP_043797830.1 uncharacterized protein LOC122717647 [Apis laboriosa]
AL|XP_043797831.1	AL	XP_043797831.1	LOC122717648	OG0005342	XM_043941896.1	35	1197	XP_043797831.1 broad-complex core protein isoforms 1/2/3/4/5-like isoform X1 [Apis laboriosa]
AL|XP_043797833.1	AL	XP_043797833.1	LOC122717646	OG0008482	XM_043941898.1	100	441	XP_043797833.1 uncharacterized protein LOC122717646 [Apis laboriosa]
AL|XP_043797837.1	AL	XP_043797837.1	LOC122717649	OG0001662	XM_043941902.1	71	1308	XP_043797837.1 cleavage stimulation factor subunit 1 [Apis laboriosa]
AL|XP_043797838.1	AL	XP_043797838.1	LOC122717650	OG0006984	XM_043941903.1	64	465	XP_043797838.1 ribonuclease P protein subunit p20 [Apis laboriosa]
AL|XP_043797839.1	AL	XP_043797839.1	LOC122717651	OG0009163	XM_043941904.1	110	411	XP_043797839.1 transmembrane protein 203 [Apis laboriosa]
AL|XP_043797840.1	AL	XP_043797840.1	LOC122717652	OG0006331	XM_043941905.1	185	1443	XP_043797840.1 NADH-ubiquinone oxidoreductase 49 kDa subunit [Apis laboriosa]
AL|XP_043797841.1	AL	XP_043797841.1	LOC122717653	OG0004687	XM_043941906.1	178	729	XP_043797841.1 myoneurin-like [Apis laboriosa]
AL|XP_043797843.1	AL	XP_043797843.1	LOC122717655	OG0008509	XM_043941908.1	106	2550	XP_043797843.1 serine/threonine-protein kinase BRSK2 isoform X1 [Apis laboriosa]
AL|XP_043797846.1	AL	XP_043797846.1	LOC122717654	OG0002196	XM_043941911.1	166	3093	XP_043797846.1 importin-9 isoform X1 [Apis laboriosa]
AL|XP_043797848.1	AL	XP_043797848.1	LOC122717656	OG0007279	XM_043941913.1	682	1347	XP_043797848.1 synaptotagmin-2-like isoform X1 [Apis laboriosa]
AL|XP_043797852.1	AL	XP_043797852.1	LOC122717657	OG0004658	XM_043941917.1	0	2403	XP_043797852.1 uncharacterized protein LOC122717657 [Apis laboriosa]
AL|XP_043797853.1	AL	XP_043797853.1	LOC122717658	OG0009180	XM_043941918.1	0	1368	XP_043797853.1 GATA zinc finger domain-containing protein 14-like [Apis laboriosa]
AL|XP_043797854.1	AL	XP_043797854.1	LOC122717659	OG0001312	XM_043941919.1	0	1557	XP_043797854.1 GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase [Apis laboriosa]
AL|XP_043797856.1	AL	XP_043797856.1	LOC122717660	OG0009432	XM_043941921.1	0	597	XP_043797856.1 trafficking protein particle complex subunit 5 [Apis laboriosa]
AL|XP_043797857.1	AL	XP_043797857.1	LOC122717661	OG0009765	XM_043941922.1	0	393	XP_043797857.1 uncharacterized protein LOC122717661 [Apis laboriosa]
AL|XP_043797858.1	AL	XP_043797858.1	LOC122717662	OG0007008	XM_043941923.1	244	1134	XP_043797858.1 RNA 3'-terminal phosphate cyclase isoform X1 [Apis laboriosa]
AL|XP_043797862.1	AL	XP_043797862.1	LOC122717663	OG0006923	XM_043941927.1	77	513	XP_043797862.1 probable ribosome biogenesis protein RLP24 [Apis laboriosa]
AL|XP_043797863.1	AL	XP_043797863.1	LOC122717664	OG0006998	XM_043941928.1	117	2622	XP_043797863.1 exosome component 10 [Apis laboriosa]
AL|XP_043797865.1	AL	XP_043797865.1	LOC122717665	OG0001740	XM_043941930.1	77	1425	XP_043797865.1 DEAD-box helicase Dbp80 isoform X1 [Apis laboriosa]
AL|XP_043797867.1	AL	XP_043797867.1	LOC122717666	OG0004726	XM_043941932.1	285	2112	XP_043797867.1 male-specific lethal 1 homolog [Apis laboriosa]
AL|XP_043797868.1	AL	XP_043797868.1	LOC122717667	OG0007729	XM_043941933.1	84	1824	XP_043797868.1 ATPase family AAA domain-containing protein 3A homolog [Apis laboriosa]
AL|XP_043797869.1	AL	XP_043797869.1	LOC122717668	OG0006466	XM_043941934.1	253	7776	XP_043797869.1 uncharacterized protein LOC122717668 isoform X1 [Apis laboriosa]
AL|XP_043797872.1	AL	XP_043797872.1	LOC122717669	OG0004682	XM_043941937.1	234	2256	XP_043797872.1 nitric oxide-associated protein 1 isoform X1 [Apis laboriosa]
AL|XP_043797875.1	AL	XP_043797875.1	LOC122717671	OG0004688	XM_043941940.1	1483	1581	XP_043797875.1 MAP kinase-interacting serine/threonine-protein kinase 1-like isoform X1 [Apis laboriosa]
AL|XP_043797877.1	AL	XP_043797877.1	LOC122717670	OG0007151	XM_043941942.1	1142	2565	XP_043797877.1 PDZ domain-containing RING finger protein 4 isoform X1 [Apis laboriosa]
AL|XP_043797880.1	AL	XP_043797880.1	LOC122717672	OG0004683	XM_043941945.1	91	1026	XP_043797880.1 spermatogenesis-associated protein 6 [Apis laboriosa]
AL|XP_043797881.1	AL	XP_043797881.1	LOC122717673	OG0004684	XM_043941946.1	31	402	XP_043797881.1 uncharacterized protein LOC122717673 [Apis laboriosa]
AL|XP_043797882.1	AL	XP_043797882.1	LOC122717674	OG0007145	XM_043941947.1	0	1653	XP_043797882.1 S-phase kinase-associated protein 2 isoform X1 [Apis laboriosa]
AL|XP_043797889.1	AL	XP_043797889.1	LOC122717675	OG0004681	XM_043941954.1	137	312	XP_043797889.1 10 kDa heat shock protein, mitochondrial [Apis laboriosa]
AL|XP_043797890.1	AL	XP_043797890.1	LOC122717676	OG0004686	XM_043941955.1	687	975	XP_043797890.1 cadherin EGF LAG seven-pass G-type receptor 1-like [Apis laboriosa]
AL|XP_043797892.1	AL	XP_043797892.1	LOC122717677	OG0008598	XM_043941957.1	321	3810	XP_043797892.1 protein shuttle craft [Apis laboriosa]
AL|XP_043797895.1	AL	XP_043797895.1	LOC122717679	OG0001990	XM_043941960.1	155	2439	XP_043797895.1 histone acetyltransferase KAT2A [Apis laboriosa]
AL|XP_043797896.1	AL	XP_043797896.1	LOC122717680	OG0004724	XM_043941961.1	87	1407	XP_043797896.1 ankyrin repeat domain-containing protein 65-like [Apis laboriosa]
AL|XP_043797897.1	AL	XP_043797897.1	LOC122717681	OG0004698	XM_043941962.1	74	3093	XP_043797897.1 WD repeat-containing protein 6 [Apis laboriosa]
AL|XP_043797900.1	AL	XP_043797900.1	LOC122717682	OG0001685	XM_043941965.1	249	1041	XP_043797900.1 cyclin G [Apis laboriosa]
AL|XP_043797902.1	AL	XP_043797902.1	LOC122717683	OG0004697	XM_043941967.1	247	672	XP_043797902.1 putative glutathione-specific gamma-glutamylcyclotransferase 2 isoform X1 [Apis laboriosa]
AL|XP_043797904.1	AL	XP_043797904.1	LOC122717685	OG0002639	XM_043941969.1	95	2040	XP_043797904.1 kanadaptin [Apis laboriosa]
AL|XP_043797905.1	AL	XP_043797905.1	LOC122717686	OG0004657	XM_043941970.1	305	810	XP_043797905.1 uncharacterized protein LOC122717686 [Apis laboriosa]
AL|XP_043797906.1	AL	XP_043797906.1	LOC122717687	OG0004705	XM_043941971.1	156	747	XP_043797906.1 arylalkylamine N-acetyltransferase-like 2 [Apis laboriosa]
AL|XP_043797907.1	AL	XP_043797907.1	LOC122717678	OG0006217	XM_043941972.1	18	3438	XP_043797907.1 nucleolar protein 6 isoform X2 [Apis laboriosa]
AL|XP_043797908.1	AL	XP_043797908.1	LOC122717688	OG0006451	XM_043941973.1	43	1719	XP_043797908.1 guanine nucleotide-binding protein-like 3 homolog [Apis laboriosa]
